0.0209	0.5916	4.95E-009	7.32E+017	6400	6.2919368315	0.0030880851
0.0297	0.6070	5.16E-009	8.85E+017	8600	5.6402064681	0.0041174468
0.0338	0.4415	1.52E-009	9.39E+017	10000	4.5965100695	0.0047978723
0.0616	0.8819	1.61E-009	6.23E+017	11500	4.0873930716	0.0054782979
0.0021	0.0266	1.27E-012	4.10E+013	73000	0.2283998692	0.4878
0.00299	0.0256	6.19E-014	1.03E+014	31675	0.0692492702	0.0096166706
0.00284	0.0282	4.09E-014	1.34E+014	36372	0.0597470822	0.0110424101
0.0029	0.0315	2.68E-014	1.71E+014	41551.5	0.0515923493	0.0126148879
0.0028	0.0329	1.97E-014	2.38E+014	46662	0.0435980404	0.0141664176
0.0030	0.0217	2.76E-014	2.22E+014	51496.3333333	0.0381550867	0.015634104
0.0033	0.0314	4.11E-014	6.89E+013	31399.6666667	0.0899688384	0.0095328273
0.0037	0.0328	2.94E-014	9.07E+013	36441	0.0759966285	0.0110633582
0.0029	0.0335	2.99E-014	1.36E+014	41551.5	0.0654021029	0.0126148879
0.0028	0.0353	2.42E-014	1.91E+014	46731.1666667	0.0572573921	0.0141874163
0.0030	0.0302	2.67E-014	1.92E+014	51634.5	0.0504808855	0.0156760509
0.0040	0.0348	3.35E-014	8.14E+013	36786.3333333	0.089217889	0.0111682002
0.0032	0.0358	2.97E-014	1.17E+014	41896.8333333	0.0789506165	0.0127197299
0.0028	0.0370	2.65E-014	1.53E+014	46938.3333333	0.0693154026	0.0142503114
0.0023	0.0362	2.85E-014	2.06E+014	51979.6666667	0.0608871615	0.0157808423
0.0057	0.0498	2.54E-012	1.70E+012	34693	12.7390101147	0.1035294118
4.13E-003	2.69E-002	1.29E-012	2.53E+012	39424	8.1849976754	0.1176470588
4.28E-003	5.35E-002	1.47E-012	9.81E+011	41000	14.1357315344	0.1223529412
3.08E-003	2.61E-002	1.10E-012	6.59E+012	47300	5.5618755454	0.1411764706
3.41E-003	2.78E-002	1.06E-012	6.61E+012	53600	5.6308943235	0.16

