0.0209	0.5916	4.95E-009	7.32E+017	6400	8.8568675086	0.0030880851	3.3742293431
0.0297	0.6070	5.16E-009	8.85E+017	8600	7.9394569188	0.0041174468	3.9225374831
0.0338	0.4415	1.52E-009	9.39E+017	10000	6.4702939299	0.0047978723	3.7428244987
0.0616	0.8819	1.61E-009	6.23E+017	11500	5.7536335567	0.0054782979	3.7961208152
0.0021	0.0267	1.24E-012	4.26E+013	73000	0.8800965998	0.4878	0.044224979
0.00299	0.0256	6.19E-014	1.03E+014	31675	0.1500482106	0.0096166706	0.0238730881
0.00284	0.0282	4.09E-014	1.34E+014	36372	0.1294590217	0.0110424101	0.0248049776
0.0029	0.0315	2.68E-014	1.71E+014	41551.5	0.111789477	0.0126148879	0.0256380773
0.0028	0.0329	1.97E-014	2.38E+014	46662	0.0944675364	0.0141664176	0.025510928
0.0030	0.0217	2.76E-014	2.22E+014	51496.3333333	0.0826738314	0.015634104	0.0256101784
0.0033	0.0314	4.11E-014	6.89E+013	31399.6666667	0.1949430395	0.0095328273	0.0293901981
0.0037	0.0328	2.94E-014	9.07E+013	36441	0.1646682787	0.0110633582	0.0303783243
0.0029	0.0335	2.99E-014	1.36E+014	41551.5	0.1417122302	0.0126148879	0.0312409424
0.0028	0.0353	2.42E-014	1.91E+014	46731.1666667	0.1240644012	0.0141874163	0.0320711037
0.0030	0.0302	2.67E-014	1.92E+014	51634.5	0.109381175	0.0156760509	0.03244011
0.0040	0.0348	3.35E-014	8.14E+013	36786.3333333	0.1933158944	0.0111682002	0.0351067597
0.0032	0.0358	2.97E-014	1.17E+014	41896.8333333	0.1710689327	0.0127197299	0.036902366
0.0028	0.0370	2.65E-014	1.53E+014	46938.3333333	0.1501915053	0.0142503114	0.0378024786
0.0023	0.0362	2.85E-014	2.06E+014	51979.6666667	0.1319293274	0.0157808423	0.038219974
0.0057	0.0498	2.54E-012	1.70E+012	34693	38.9436700125	0.1035294118	0.0551955353
4.13E-003	2.69E-002	1.29E-012	2.53E+012	39424	25.0218694903	0.1176470588	0.0415750852
4.28E-003	5.35E-002	1.47E-012	9.81E+011	41000	43.2135039775	0.1223529412	0.0700436772
3.08E-003	2.61E-002	1.10E-012	6.59E+012	47300	17.0028788691	0.1411764706	0.036671055
3.41E-003	2.78E-002	1.06E-012	6.61E+012	53600	17.2138720696	0.16	0.0415374004
5.61E-003	2.47E-002	1.28E-013	7.69E+013	66585	1.6916342088	0.1620543807	0.029746845
4.49E-003	2.15E-002	9.35E-014	6.25E+013	57424	1.8232972241	0.1397583082	0.0276903412
6.34E-003	6.04E-002	3.11E-013	9.50E+012	49603	4.7961215917	0.1207250755	0.0542068383
7.83E-003	5.52E-002	2.58E-013	2.88E+012	41112	7.165132906	0.100060423	0.0637758329
4.32E-003	4.93E-002	1.57E-013	9.35E+012	8410.5	0.14384177	1.4117647059	0.042143195
6.83E-003	3.54E-002	7.61E-014	5.14E+012	7289	0.1664795715	1.2235294118	0.0417295039
6.02E-003	5.45E-002	1.40E-013	3.36E+012	6280	0.2338319328	1.0541176471	0.0484304524
